mol_name,smiles,mol_weight,IC50 (nM)
15944846,[H]OC([H])([H])C([H])([H])N([H])c1c2c([H])c([H])c([H])c([H])c2nc2c(F)c(F)c(F)c(F)c12,0.46602249413941316,0.5784065614268891
986648,[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])c3sc4nc(C([H])(Cl)Cl)n([H])c(=O)c4c3C([H])([H])C2([H])[H])c([H])c1[H],0.5756700758641555,0.4774288990141205
1279881,[H]c1oc(C(=O)/N=c2\c(C#N)c([H])c3c(=O)n4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])c2oc([H])c([H])c2[H])c([H])c1[H],0.620012526695822,0.5493662557846354
5860596,[H]/C(=C1\c2nc3c([H])c([H])c([H])c([H])c3c(C(=O)OC([H])([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])[H])c2C([H])([H])C1([H])[H])c1oc([H])c([H])c1[H],0.6623060370019054,0.46565266484385687
6092126,[H]/C(=C1\c2nc3c([H])c([H])c([H])c([H])c3c(C(=O)OC([H])([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2C([H])([H])C1([H])[H])c1oc([H])c([H])c1[H],0.6267143602222729,0.4646956881841963
5853681,[H]Oc1c([H])c([H])c2c(C([H])([H])OC(=O)C([H])([H])C3([H])Sc4c([H])c([H])c([H])c([H])c4N([H])C3=O)c([H])c(=O)oc2c1[H],0.6010457925406483,0.49653381499939747
5412885,[H]Oc1c([H])c([H])c(O[H])c(-c2snnc2[H])c1[H],0.21000751504809204,0.49878934489847426
1770167,[H]OC(=O)C([H])([H])C([H])([H])N1C2=C(C(=O)C([H])([H])C([H])([H])C2([H])[H])C([H])(c2c([H])c([H])c(OS(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c(Cl)c2[H])C2=C1C([H])([H])C([H])([H])C([H])([H])C2=O,0.7976206839800463,0.4817378031765044
5412886,[H]Oc1c([H])c([H])c(-c2snnc2[H])c(O[H])c1[H],0.21000751504809204,0.4972969652011084
4688474,[H]OC(=O)C([H])([H])C([H])([H])N1C2=C(C(=O)C([H])([H])C([H])([H])C2([H])[H])C([H])(c2c([H])c([H])c(OS(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c(OC([H])([H])C([H])([H])[H])c2[H])C2=C1C([H])([H])C([H])([H])C([H])([H])C2=O,0.8071928672316564,0.5187496900967451
2055776,[H]C([H])=C([H])C([H])([H])Oc1c(Br)c([H])c(C2([H])C3=C(N(C([H])([H])[H])C4=C2C(=O)C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C([H])([H])C3=O)c([H])c1OC([H])([H])C([H])([H])[H],0.7104165030903089,0.5338573660128497
6504365,[H]C(=C1/SC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])[H])/C([H])=C(\[H])C1=[N+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])S1,0.3886662061561134,0.5784065614268891
322847,[H]c1nc2c(nc1-c1c([H])c([H])c(Cl)c([H])c1[H])c(=O)n([H])c(=O)n2[H],0.3985419956517119,0.5784065614268891
1505052,[H]c1nc(C([H])([H])N([H])C(=O)c2c([H])c3c(oc2=O)c([H])c([H])c2c([H])c([H])c([H])c([H])c23)c([H])c([H])c1[H],0.500197788923617,0.5784065614268891
5122341,[H]c1c([H])c(OC([H])([H])[H])c(S(=O)(=O)N(C(=O)C([H])([H])[H])c2c([H])c([H])c3oc(=O)sc3c2[H])c([H])c1OC([H])([H])[H],0.6172591752519241,0.5784065614268891
2313118,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],0.35741047396366654,0.5784065614268891
3830622,[H]Oc1c([H])c([H])c2c(c1[H])Oc1nc([H])n3nc(-c4nc([H])c([H])c([H])c4[H])nc3c1C2([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],0.6357698160310316,0.5784065614268891
85070,[H]c1c(N([H])C(=O)C([H])([H])[H])c([H])c2nc3c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c([H])c3c([H])c2c1[H],0.43531545135778327,0.5784065614268891
12273418,[H]Oc1c(/C([H])=N/c2c([H])c([H])c([H])c([H])c2[H])c(=O)n(C([H])([H])[H])c2c([H])c([H])c([H])c([H])c12,0.4066114235482354,0.5784065614268891
17,[H]c1nc([H])c([H])c(-c2c3c(n([H])c(=O)c2C#N)-c2c([H])c([H])c([H])c([H])c2OC3([H])[H])c1[H],0.44996150954179875,0.5784065614268891
644735,[H]N=c1c(C(=O)N([H])C([H])([H])c2oc([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.6560748000443426,0.48409059622635514
649963,[H]c1c(OC([H])([H])[H])c([H])c2c([H])c(C#N)c(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc2c1[H],0.35521373232431586,0.5784065614268891
652912,[H]OC(=O)C1([H])N([H])c2c(OC([H])([H])[H])c([H])c([H])c([H])c2C2([H])C([H])=C([H])C([H])([H])C21[H],0.33764151821478994,0.48441789220857323
5295075,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c(C([H])([H])[H])nn1C([H])(c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])N2[H],0.455525355236387,0.5784065614268891
656318,[H]N=c1c(S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1oc([H])c([H])c1[H],0.647206395197263,0.5506046223162123
657445,[H]c1c([H])c([H])c(C([H])([H])N([H])c2nc(N([H])C([H])([H])C([H])([H])N([H])[H])c(C#N)c3c2C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C3([H])[H])c([H])c1[H],0.6215256390817898,0.5413223598248952
657862,[H]n1c(=O)c2c3c(sc2n([H])c1=O)C([H])([H])SC(C([H])([H])[H])(C([H])([H])C([H])([H])[H])C3([H])[H],0.4143008222438143,0.5384012499722641
659293,[H]c1oc(C([H])([H])n2c(N([H])[H])c(C(=O)N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.6319599194131731,0.5784065614268891
659456,[H]c1oc(C(=O)N([H])c2c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],0.7082404211423801,0.4863381165988172
660761,[H]c1oc(C([H])([H])n2c([H])nc3c(c2=O)c2nc4c([H])c([H])c([H])c([H])c4nc2n3-c2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H],0.6332097240840064,0.5242074277169708
